Designator,Mid X,Mid Y,Rotation,Layer
C1,133.7,-147.105112,90.0,top
C2,54.9,-146.605113,90.0,top
D1,147.05,-146.825,180.0,top
J11,100.0,-122.86,180.0,top
J12,100.0,-115.24,0.0,top
J13,100.0,-103.81,180.0,top
J14,100.0,-96.19,0.0,top
J1a1,74.7,-58.65,0.0,top
J1b1,105.7,-58.65,0.0,top
J5,100.0,-77.14,0.0,top
J6,100.0,-84.76,180.0,top
J8,100.0,-130.48,180.0,top
R1,146.304,-141.351,180.0,top
X1,99.75,-53.0,0.0,top
X2,99.75,-67.0,180.0,top
